idid,line_class,design_code,temp_range_deg_c,material,dia_in,thickness_range_mm,wps_number,pwht,comments,line_class_normalized,content,dia_in1,dia_in2
214,900P21,ASME B31.3,-140 / 350,316/316L SS,> 3,11.13 - 56.00,14AW,N,,900P21,Pipe line class 900P21. Design code ASME B31.3. Design temperature range -140 / 350 deg C. Material 316/316L SS. Diameter > 3 in. Thickness range 11.13 - 56.00 mm. WPS number 14AW. PWHT N.,3.1,100
215,900P22,ASME B31.3,-40 / 350,316/316L SS,3/4 - 3,3.91 - 7.82,25AW,N,,900P22,Pipe line class 900P22. Design code ASME B31.3. Design temperature range -40 / 350 deg C. Material 316/316L SS. Diameter 3/4 - 3 in. Thickness range 3.91 - 7.82 mm. WPS number 25AW. PWHT N.,0.75,3
216,900P22,ASME B31.3,-40 / 350,316/316L SS,> 3,11.13 - 56.00,14AW,N,,900P22,Pipe line class 900P22. Design code ASME B31.3. Design temperature range -40 / 350 deg C. Material 316/316L SS. Diameter > 3 in. Thickness range 11.13 - 56.00 mm. WPS number 14AW. PWHT N.,3.1,100
217,1500A60,ASME B31.3,-100 / 110,Inconel 625 (NACE),3/4 - 6,3.68 - 10.97,43AW,N,,1500A60,Pipe line class 1500A60. Design code ASME B31.3. Design temperature range -100 / 110 deg C. Material Inconel 625 (NACE). Diameter 3/4 - 6 in. Thickness range 3.68 - 10.97 mm. WPS number 43AW. PWHT N.,0.75,6
218,1500A60,ASME B31.3,-100 / 110,Inconel 625 (NACE),> 6,12.7,42AW,N,,1500A60,Pipe line class 1500A60. Design code ASME B31.3. Design temperature range -100 / 110 deg C. Material Inconel 625 (NACE). Diameter > 6 in. Thickness range 12.7 mm. WPS number 42AW. PWHT N.,6.1,100
219,1500F22,ASME B31.3,-40 / 155,LTCS NACE,3/4 - 1 1/2,7.82 - 10.15,20PW,Y,,1500F22,Pipe line class 1500F22. Design code ASME B31.3. Design temperature range -40 / 155 deg C. Material LTCS NACE. Diameter 3/4 - 1 1/2 in. Thickness range 7.82 - 10.15 mm. WPS number 20PW. PWHT Y.,0.75,1.5
220,1500F22,ASME B31.3,-40 / 155,2-1/4Cr F22 Modified,≤ 4,7.00 - 10.00,HP700PW,Y,,1500F22,Pipe line class 1500F22. Design code ASME B31.3. Design temperature range -40 / 155 deg C. Material 2-1/4Cr F22 Modified. Diameter ≤ 4 in. Thickness range 7.00 - 10.00 mm. WPS number HP700PW. PWHT Y.,0.1,4
221,1500F22,ASME B31.3,-40 / 155,2-1/4Cr F22 Modified,6 - 8,13.00 - 16.00,Contact MI Engineer,Y,,1500F22,Pipe line class 1500F22. Design code ASME B31.3. Design temperature range -40 / 155 deg C. Material 2-1/4Cr F22 Modified. Diameter 6 - 8 in. Thickness range 13.00 - 16.00 mm. WPS number Contact MI Engineer. PWHT Y.,6,8
222,1500F22,ASME B31.3,-40 / 155,2-1/4Cr F22 Modified,10 - 12,19.00 - 22.00,Contact MI Engineer,Y,,1500F22,Pipe line class 1500F22. Design code ASME B31.3. Design temperature range -40 / 155 deg C. Material 2-1/4Cr F22 Modified. Diameter 10 - 12 in. Thickness range 19.00 - 22.00 mm. WPS number Contact MI Engineer. PWHT Y.,10,12
223,1500F22,ASME B31.3,-40 / 155,2-1/4Cr F22 Modified,> 14,24.00- 47.50,Contact MI Engineer,Y,,1500F22,Pipe line class 1500F22. Design code ASME B31.3. Design temperature range -40 / 155 deg C. Material 2-1/4Cr F22 Modified. Diameter > 14 in. Thickness range 24.00- 47.50 mm. WPS number Contact MI Engineer. PWHT Y.,14.1,100
224,1500H1,ASME B31.3,-40 / 343,LTCS NACE,3/4 - 3,5.56 - 8.74,"20AW, for SW see Note (2)",N,"SW only for legacy lines < 2""",1500H1,"Pipe line class 1500H1. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 3/4 - 3 in. Thickness range 5.56 - 8.74 mm. WPS number 20AW, for SW see Note (2). PWHT N. Comments SW only for legacy lines < 2"".",0.75,3
225,1500H1,ASME B31.3,-40 / 343,LTCS NACE,4 - 4,13.49 - 13.49,21AW,N,,1500H1,Pipe line class 1500H1. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 4 - 4 in. Thickness range 13.49 - 13.49 mm. WPS number 21AW. PWHT N.,4,4
226,1500H1,ASME B31.3,-40 / 343,LTCS NACE,≥ 6,21.95 - 34.00,21PW,Y,,1500H1,Pipe line class 1500H1. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter ≥ 6 in. Thickness range 21.95 - 34.00 mm. WPS number 21PW. PWHT Y.,6,100
227,1500K1,ASME B31.3,-40 / 126,LTCS NACE,3/4 - 3,7.82 - 11.07,20PW,Y,,1500K1,Pipe line class 1500K1. Design code ASME B31.3. Design temperature range -40 / 126 deg C. Material LTCS NACE. Diameter 3/4 - 3 in. Thickness range 7.82 - 11.07 mm. WPS number 20PW. PWHT Y.,0.75,3
228,1500K1,ASME B31.3,-40 / 126,LTCS NACE,4 - 20,17.12 - 54.00,21PW,Y,,1500K1,Pipe line class 1500K1. Design code ASME B31.3. Design temperature range -40 / 126 deg C. Material LTCS NACE. Diameter 4 - 20 in. Thickness range 17.12 - 54.00 mm. WPS number 21PW. PWHT Y.,4,20
229,1500P1,ASME B31.3,-50 / 200,316/316L SS,3/4 - 3,5.56 - 8.74,"25AW, for SW see Note (2)",N,"SW only for legacy lines < 2""",1500P1,"Pipe line class 1500P1. Design code ASME B31.3. Design temperature range -50 / 200 deg C. Material 316/316L SS. Diameter 3/4 - 3 in. Thickness range 5.56 - 8.74 mm. WPS number 25AW, for SW see Note (2). PWHT N. Comments SW only for legacy lines < 2"".",0.75,3
230,1500P1,ASME B31.3,-50 / 200,316/316L SS,> 3,17.12 - 18.26,14AW,N,,1500P1,Pipe line class 1500P1. Design code ASME B31.3. Design temperature range -50 / 200 deg C. Material 316/316L SS. Diameter > 3 in. Thickness range 17.12 - 18.26 mm. WPS number 14AW. PWHT N.,3.1,100
231,1500P2,ASME B31.3,-100 / 200,316/316L SS,3/4 - 3,5.56 - 8.74,25AW,N,,1500P2,Pipe line class 1500P2. Design code ASME B31.3. Design temperature range -100 / 200 deg C. Material 316/316L SS. Diameter 3/4 - 3 in. Thickness range 5.56 - 8.74 mm. WPS number 25AW. PWHT N.,0.75,3
232,1500P2,ASME B31.3,-100 / 200,316/316L SS,> 3,17.12 - 17.12,14AW,N,,1500P2,Pipe line class 1500P2. Design code ASME B31.3. Design temperature range -100 / 200 deg C. Material 316/316L SS. Diameter > 3 in. Thickness range 17.12 - 17.12 mm. WPS number 14AW. PWHT N.,3.1,100
233,2500A60,ASME B31.3,-100 / 180,Inconel 625 (NACE),3/4 - 4,3.91 - 8.56,43AW,N,,2500A60,Pipe line class 2500A60. Design code ASME B31.3. Design temperature range -100 / 180 deg C. Material Inconel 625 (NACE). Diameter 3/4 - 4 in. Thickness range 3.91 - 8.56 mm. WPS number 43AW. PWHT N.,0.75,4
234,2500A60,ASME B31.3,-100 / 180,Inconel 625 (NACE),≥ 4,11.13 - 14.27,42AW,N,,2500A60,Pipe line class 2500A60. Design code ASME B31.3. Design temperature range -100 / 180 deg C. Material Inconel 625 (NACE). Diameter ≥ 4 in. Thickness range 11.13 - 14.27 mm. WPS number 42AW. PWHT N.,4,100
235,2500F22,ASME B31.3,-40 / 180,LTCS NACE,3/4 - 1 1/2,7.82 - 11.00,20PW,Y,,2500F22,Pipe line class 2500F22. Design code ASME B31.3. Design temperature range -40 / 180 deg C. Material LTCS NACE. Diameter 3/4 - 1 1/2 in. Thickness range 7.82 - 11.00 mm. WPS number 20PW. PWHT Y.,0.75,1.5
236,2500F22,ASME B31.3,-40 / 180,2-1/4Cr F22 Modified,≤ 4,9.00 - 14.00,HP700PW,Y,,2500F22,Pipe line class 2500F22. Design code ASME B31.3. Design temperature range -40 / 180 deg C. Material 2-1/4Cr F22 Modified. Diameter ≤ 4 in. Thickness range 9.00 - 14.00 mm. WPS number HP700PW. PWHT Y.,0.1,4
237,2500F22,ASME B31.3,-40 / 180,2-1/4Cr F22 Modified,6 - 8,19.50 - 24.00,Contact MI Engineer,Y,,2500F22,Pipe line class 2500F22. Design code ASME B31.3. Design temperature range -40 / 180 deg C. Material 2-1/4Cr F22 Modified. Diameter 6 - 8 in. Thickness range 19.50 - 24.00 mm. WPS number Contact MI Engineer. PWHT Y.,6,8
238,2500F22,ASME B31.3,-40 / 180,2-1/4Cr F22 Modified,10 - 12,29.00 - 34.00,Contact MI Engineer,Y,,2500F22,Pipe line class 2500F22. Design code ASME B31.3. Design temperature range -40 / 180 deg C. Material 2-1/4Cr F22 Modified. Diameter 10 - 12 in. Thickness range 29.00 - 34.00 mm. WPS number Contact MI Engineer. PWHT Y.,10,12
239,2500F22,ASME B31.3,-40 / 180,2-1/4Cr F22 Modified,> 14,37.00 - 66.00,Contact MI Engineer,Y,,2500F22,Pipe line class 2500F22. Design code ASME B31.3. Design temperature range -40 / 180 deg C. Material 2-1/4Cr F22 Modified. Diameter > 14 in. Thickness range 37.00 - 66.00 mm. WPS number Contact MI Engineer. PWHT Y.,14.1,100
240,2500H1,ASME B31.3,-40 / 200,LTCS NACE,3/4 - 2,7.47 - 12.00,20AW,N,,2500H1,Pipe line class 2500H1. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS NACE. Diameter 3/4 - 2 in. Thickness range 7.47 - 12.00 mm. WPS number 20AW. PWHT N.,0.75,2
241,2500H1,ASME B31.3,-40 / 200,LTCS NACE,3 - 3,16.00 - 16.00,21AW,N,,2500H1,Pipe line class 2500H1. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS NACE. Diameter 3 - 3 in. Thickness range 16.00 - 16.00 mm. WPS number 21AW. PWHT N.,3,3
242,2500H1,ASME B31.3,-40 / 200,LTCS NACE,≥ 4,20.00 - 66.00,21PW,Y,,2500H1,Pipe line class 2500H1. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS NACE. Diameter ≥ 4 in. Thickness range 20.00 - 66.00 mm. WPS number 21PW. PWHT Y.,4,100
243,2500K1,ASME B31.3,-40 / 200,LTCS NACE,3/4 - 3,7.82 - 16.00,20PW,Y,,2500K1,Pipe line class 2500K1. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS NACE. Diameter 3/4 - 3 in. Thickness range 7.82 - 16.00 mm. WPS number 20PW. PWHT Y.,0.75,3
244,2500K1,ASME B31.3,-40 / 200,LTCS NACE,> 3,20.00 - 29.00,21PW,Y,,2500K1,Pipe line class 2500K1. Design code ASME B31.3. Design temperature range -40 / 200 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 20.00 - 29.00 mm. WPS number 21PW. PWHT Y.,3.1,100
245,2500P1,ASME B31.3,-40 / 120,316/316L SS,3/4 - 1 1/2,7.82 - 10.15,25AW,N,,2500P1,Pipe line class 2500P1. Design code ASME B31 3. Design temperature range -40 / 120 deg C. Material 316/316L SS. Diameter 3/4 - 1 1/2 in. Thickness range 7.82 - 10.15 mm. WPS number 25AW. PWHT N.,0.75,1.5
246,2500P1,ASME B31.3,-40 / 120,316/316L SS,≥ 2,12.70 - 22.00,14AW,N,,2500P1,Pipe line class 2500P1. Design code ASME B31 3. Design temperature range -40 / 120 deg C. Material 316/316L SS. Diameter ≥ 2 in. Thickness range 12.70 - 22.00 mm. WPS number 14AW. PWHT N.,2,100
247,2500P2,ASME B31.3,-135 / 120,316/316L SS (F321 Flange),3/4 - 1 1/2,7.82 - 10.15,25AW,N,,2500P2,Pipe line class 2500P2. Design code ASME B31.3. Design temperature range -135 / 120 deg C. Material 316/316L SS (F321 Flange). Diameter 3/4 - 1 1/2 in. Thickness range 7.82 - 10.15 mm. WPS number 25AW. PWHT N.,0.75,1.5
248,2500P2,ASME B31.3,-135 / 120,316/316L SS (F321 Flange),≥ 2,12.70 - 24.00,14AW,N,,2500P2,Pipe line class 2500P2. Design code ASME B31.3. Design temperature range -135 / 120 deg C. Material 316/316L SS (F321 Flange). Diameter ≥ 2 in. Thickness range 12.70 - 24.00 mm. WPS number 14AW. PWHT N.,2,100
249,2500P3,ASME B31.3,-135 / 120,316/316L SS (F321 Flange),3/4 - 1 1/2,7.82 - 10.15,25AW,N,,2500P3,Pipe line class 2500P3. Design code ASME B31.3. Design temperature range -135 / 120 deg C. Material 316/316L SS (F321 Flange). Diameter 3/4 - 1 1/2 in. Thickness range 7.82 - 10.15 mm. WPS number 25AW. PWHT N.,0.75,1.5
250,2500P3,ASME B31.3,-135 / 120,316/316L SS (F321 Flange),≥ 2,12.70 - 22.00,14AW,N,,2500P3,Pipe line class 2500P3. Design code ASME B31.3. Design temperature range -135 / 120 deg C. Material 316/316L SS (F321 Flange). Diameter ≥ 2 in. Thickness range 12.70 - 22.00 mm. WPS number 14AW. PWHT N.,2,100
251,10000A60,ASME B31.3 (Ch.IX) API 6A,-120 / 130,Inconel 625 (NACE),3/4 - 2,5.56 - 8.74,43AW,N,,10000A60,Pipe line class 10000A60. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -120 / 130 deg C. Material Inconel 625 (NACE). Diameter 3/4 - 2 in. Thickness range 5.56 - 8.74 mm. WPS number 43AW. PWHT N.,0.75,2
252,10000A60,ASME B31.3 (Ch.IX) API 6A,-120 / 130,Inconel 625 (NACE),3 - 6,11.13 - 20.00,42AW,N,,10000A60,Pipe line class 10000A60. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -120 / 130 deg C. Material Inconel 625 (NACE). Diameter 3 - 6 in. Thickness range 11.13 - 20.00 mm. WPS number 42AW. PWHT N.,3,6
253,10000A60,ASME B31.3 (Ch.IX) API 6A,-120 / 130,Inconel 625 (NACE),8,26,Contact MI Engineer,N,,10000A60,Pipe line class 10000A60. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -120 / 130 deg C. Material Inconel 625 (NACE). Diameter 8 in. Thickness range 26 mm. WPS number Contact MI Engineer. PWHT N.,8,8
254,10000A60,ASME B31.3 (Ch.IX) API 6A,-120 / 130,Inconel 625 (NACE),16,47,Contact MI Engineer,N,,10000A60,Pipe line class 10000A60. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -120 / 130 deg C. Material Inconel 625 (NACE). Diameter 16 in. Thickness range 47 mm. WPS number Contact MI Engineer. PWHT N.,16,16
255,10000F22,ASME B31.3 (Ch.IX) API 6A,-40 / 130,LTCS NACE,3/4 - 1 1/2,7.82 - 12.00,20PW,Y,,10000F22,Pipe line class 10000F22. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -40 / 130 deg C. Material LTCS NACE. Diameter 3/4 - 1 1/2 in. Thickness range 7.82 - 12.00 mm. WPS number 20PW. PWHT Y.,0.75,1.5
256,10000F22,ASME B31.3 (Ch.IX) API 6A,-40 / 130,2-1/4Cr F22 Modified,≤ 4,10.50 - 17.00,HP700PW,Y,,10000F22,Pipe line class 10000F22. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -40 / 130 deg C. Material 2-1/4Cr F22 Modified. Diameter ≤ 4 in. Thickness range 10.50 - 17.00 mm. WPS number HP700PW. PWHT Y.,0.1,4
257,10000F22,ASME B31.3 (Ch.IX) API 6A,-40 / 130,2-1/4Cr F22 Modified,6 - 8,23.50 - 29.50,Contact MI Engineer,Y,,10000F22,Pipe line class 10000F22. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -40 / 130 deg C. Material 2-1/4Cr F22 Modified. Diameter 6 - 8 in. Thickness range 23.50 - 29.50 mm. WPS number Contact MI Engineer. PWHT Y.,6,8
258,10000F22,ASME B31.3 (Ch.IX) API 6A,-40 / 130,2-1/4Cr F22 Modified,10 - 12,36.00 - 42.00,Contact MI Engineer,Y,,10000F22,Pipe line class 10000F22. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -40 / 130 deg C. Material 2-1/4Cr F22 Modified. Diameter 10 - 12 in. Thickness range 36.00 - 42.00 mm. WPS number Contact MI Engineer. PWHT Y.,10,12
259,10000F22,ASME B31.3 (Ch.IX) API 6A,-40 / 130,2-1/4Cr F22 Modified,> 14,46.00- 70.50,Contact MI Engineer,Y,,10000F22,Pipe line class 10000F22. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range -40 / 130 deg C. Material 2-1/4Cr F22 Modified. Diameter > 14 in. Thickness range 46.00- 70.50 mm. WPS number Contact MI Engineer. PWHT Y.,14.1,100
260,10000H5A,ASME B31.8 API 6A,-40 / 110,API 5L X60 (SMLS),2 - 3,11.07 - 17.48,F-002PW,Y,,10000H5A,Pipe line class 10000H5A. Design code ASME B31.8 API 6A. Design temperature range -40 / 110 deg C. Material API 5L X60 (SMLS). Diameter 2 - 3 in. Thickness range 11.07 - 17.48 mm. WPS number F-002PW. PWHT Y.,2,3
261,10000H5A,ASME B31.8 API 6A,-40 / 110,API 5L X60 (SMLS),4,19.510000000000002,F-002PW,Y,,10000H5A,Pipe line class 10000H5A. Design code ASME B31.8 API 6A. Design temperature range -40 / 110 deg C. Material API 5L X60 (SMLS). Diameter 4 in. Thickness range 19.51 mm. WPS number F-002PW. PWHT Y.,4,4
262,10000K5A,ASME B31.8 API 6A,-40 / 90,API 5L X60 (SMLS),2 - 3,11.07 - 17.48,F-002PW,Y,,10000K5A,Pipe line class 10000K5A. Design code ASME B31.8 API 6A. Design temperature range -40 / 90 deg C. Material API 5L X60 (SMLS). Diameter 2 - 3 in. Thickness range 11.07 - 17.48 mm. WPS number F-002PW. PWHT Y.,2,3
263,10000K5A,ASME B31.8 API 6A,-40 / 90,API 5L X60 (SMLS),4,19.510000000000002,F-002PW,Y,,10000K5A,Pipe line class 10000K5A. Design code ASME B31.8 API 6A. Design temperature range -40 / 90 deg C. Material API 5L X60 (SMLS). Diameter 4 in. Thickness range 19.51 mm. WPS number F-002PW. PWHT Y.,4,4
264,10000X1,ASME B31.3 (Ch.IX) API 6A,0 / 110,API 5L X60 (SMLS),14,55,Contact MI Engineer,Y,,10000X1,Pipe line class 10000X1. Design code ASME B31.3 (Ch.IX) API 6A. Design temperature range 0 / 110 deg C. Material API 5L X60 (SMLS). Diameter 14 in. Thickness range 55 mm. WPS number Contact MI Engineer. PWHT Y.,14,14
265,10000X22,ASME B31.8 API 6A,-40 / 110,2-1/4Cr F22 Modified,14,55,Contact MI Engineer,Y,,10000X22,Pipe line class 10000X22. Design code ASME B31.8 API 6A. Design temperature range -40 / 110 deg C. Material 2-1/4Cr F22 Modified. Diameter 14 in. Thickness range 55 mm. WPS number Contact MI Engineer. PWHT Y.,14,14
