Title,REV,NOTE,ITEM_NAME,ITEM_CODE,DESCRIPTION,LINE_CLASS,low_size_1,high_size_1,low_size_2,high_size_2,Unit,SEQ_NO
bb_fgp,,FS1,FLANGE,9003493,FLG WN 600# RF LTCS A694 F60 WT 7.14 MM,300K5A,12,14,0,0,BB,3400
bb_fgp,,FS1,FLANGE,9003494,FLG WN 600# RF LTCS A694 F60 WT 7.92 MM,300K5A,16,16,0,0,BB,3410
bb_fgp,,FS1,FLANGE,9003485,FLG WN 600# RF LTCS A694 F60 WT 9.53 MM,300K5A,24,24,0,0,BB,3420
bb_fgp,U04,817,FLANGE,5619833,FLG COMPACT 1500# RJ 2-1/4CR F22M WT 27.0MM,1500F22,16,16,0,0,BB,2130
bb_fgp,U04,FS1,FLANGE,5557033,FLG WN 600# RF LTCS A350 LF2 CL.1 SCH STD,300K5A,3,3,0,0,BB,3430
bb_fgp,U04,821,FLANGE,9001512,FLG WN 600# RF LTCS A694 F60 WT 12.70MM,300K5A,16,16,0,0,BB,3440
bb_fgp,U04,821,,9005128,FLG WN 600# RF LTCS A694 F60 WT 15.88 MM,300K5A,16,16,0,0,BB,3450
bb_fgp,U04,FS1,,9001517,FLG WN 600# RF LTCS A694 F60 WT 20.62MM,300K5A,24,24,0,0,BB,3460
bb_fgp,U04,FS1,FLANGE,9003484,FLG WN 600# RF LTCS A694 F60 WT 8.74 MM,300K5A,20,20,0,0,BB,3470
bb_fgp,U04,FS1,FLANGE,5555935,FLG WN 900# RF LTCS A350 LF2 CL.1 SCH STD,300K5A,3,3,0,0,BB,3480
bb_fgp,U04,FS1,FLANGE,9006755,FLG WN 900# RF LTCS A694 F60 WT 6.35MM,300K5A,6,10,0,0,BB,3490
bb_fgp,U04,"FS1, 817",FLANGE,9006757,FLG WN 600# RTJ A694 F60 WT 7.14MM,300K5A,12,12,0,0,BB,3500
bb_fgp,U04,"FS1, 817",FLANGE,9006711,FLG WN 600# RTJ A694 F60 WT 7.92MM,300K5A,18,18,0,0,BB,3510
bb_fgp,U04,FS1,FLANGE,5557393,FLG WN 1500# RF LTCS A350 LF2 CL.1 SCH XS,300K5A,2,2,0,0,BB,3520
